Date	TimeOfDay	Type	SubType	Distance	DistanceUnit	Duration	Weight	WeightUnit	RestHR	AvgHR	MaxHR	Sleep	Calories	Quality	Effort	Weather	Temperature	TempUnit	Notes	Course	CourseSurface	CourseNotes	ShoeMake	ShoeModel	Size	System	ShoeSerial	ShoePrice	OverallPlace	FieldSize	GroupMinAge	GroupMaxAge	GroupPlace	GroupSize	GenderPlace	GenderSize	
2005-10-01	8:00 AM	Run	Race	3.10	Mile	0:23:53	108.0	lb												Houston Race for the Cure			ASICS	GT-2130	10.00	US/Canada		92.55	255	1480	20	24	9	76		
2007-09-23	3:30 AM	Bike	Easy	10.20	Mile	1:00:00	102.0	lb						5	6	Sunny	87	F		Tom Bass Park, Out and Back	Asphalt															
2007-09-23	4:00 PM	Run	Easy	2.16	Mile	0:25:00	105.0	lb						5	6		87	F		Tom Bass Loop	Asphalt		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2007-09-30	10:30 AM	Run	Easy	3.87	Mile	0:33:22								7	6	Overcast	83	F		LOEE Loop	Concrete, Treadmill		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2007-10-03	4:00 PM	Spinning	Default	4.00	Mile	0:20:00								6	5																					
2007-10-03	4:30 PM	Weights	0																																	
2007-10-06	8:15 AM	Run	Race	5.00	Kilometer	0:23:50	105.0	lb						7	7	Rain,PartlyCloudy	80	F		Houston Race for the Cure			ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2007-10-08	5:30 AM	Elliptical	Default	4.00	Mile	0:40:00								7	6																					
2007-10-09	4:00 PM	Spinning	Default	3.56	Mile	0:20:00	106.0	lb						7	6																					
2007-10-09	4:00 PM	Weights	0				106.0	lb						6	6																					
2007-10-12	7:00 AM	Run	Easy	3.37	Mile	0:33:06								6	6	Sunny	65	F		Silvercreek Loop	Concrete		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2007-10-15	5:30 AM	Run	Interval	3.50	Mile	0:23:30								7	7	Humid,PartlyCloudy	80	F		Southwyck Golf Course	Concrete		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2007-10-17	4:00 PM	Elliptical	Default	2.00	Mile	0:20:00	105.0	lb						6	5																					
2007-10-17	4:30 PM	Weights	0											6	5																					
2007-10-20	9:00 AM	Run	Easy	4.30	Mile	0:37:52								6	6	Sunny	70	F		South Creek/Southfork Loop	Concrete, Grass		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2007-10-22	5:30 AM	Run	Interval	5000.00	Meter	0:20:39								7	7	Sunny	70	F		Southwyck Golf Course	Concrete		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2007-10-27	8:00 AM	Run	Race	5.00	Kilometer	0:23:30	103.0	lb						7	5	Sunny	65	F	http://www.doitsports.com/newresults3/client/91232_217596_2007.html	Great Pumpkin Fun Run	Asphalt		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00	100	625	20	24	2	22		
2007-10-29	5:30 AM	Run	Tempo	3.50	Mile	0:40:00											60	F		Southwyck Golf Course	Concrete		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2007-10-31	3:30 PM	Elliptical	Default	4.00	Mile	0:20:00								7	5																					
2007-11-09	5:30 AM	Run	Interval	5.00	Mile	0:45:00								7	6	Humid,PartlyCloudy	70	F		Southwyck Golf Course	Concrete		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2007-11-10	8:00 AM	Run	Easy	2.49	Mile	0:20:56								7	6	Sunny,Humid	70	F		Southfork Loop	Asphalt		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2007-11-16	6:40 AM	Run	Easy	3.37	Mile	0:31:49								7	4	Sunny	40	F		Silvercreek Loop	Concrete		ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00								
2007-11-22	8:00 AM	Run	Race	5.00	Kilometer	0:23:17								7	7	Sunny	60	F		Centreville Turkey Trot	Asphalt	http://www.runwashington.com/other/varunturkeytrotmap.html	ASICS	Gel-DS Trainer 12	9.50	US/Canada		109.00			20	24	17	148	67	1257
2007-11-27	1:00 PM	Weights	0				105.0	lb						7	7																					
2007-11-29	3:00 PM	Weights	0																																	
