,mod_ingredients
salt,0.05357419724177961
oil,0.04274386874401186
butter,0.03887518436504876
cheese,0.03784751072398316
garlic,0.03580110837683222
flour,0.02893189525282362
egg,0.025376283598169666
sugar,0.025239127928472323
onion,0.024821200688561217
juice,0.022386687551433377
pepper,0.022263943165870898
milk,0.021579158699048657
water,0.017356652447532987
black pepper,0.012557694830622686
tomato,0.012357924616063514
vinegar,0.009811599791682403
cinnamon,0.009652578725366644
brown sugar,0.009272915929537766
baking powder,0.008698452327472081
parsley,0.007916764398363673
rice,0.00763897447314333
baking soda,0.007006368793705946
carrot,0.006969595172120427
vanilla,0.006616767181232334
sour cream,0.00586191405706471
ginger,0.0057491084881469675
green onion,0.005675561244975928
cumin,0.005169178536926679
vanilla extract,0.005104079287903665
oregano,0.005068796488814855
honey,0.0049187203574793574
soup,0.004877474268403707
celery,0.004801939261903721
basil,0.004793491267755696
nutmeg,0.004640433491426777
thyme,0.004442154099364313
soy,0.004400908010288663
mayonnaise,0.004341275110420253
cilantro,0.004117651735913715
paprika,0.004011306397815051
potato,0.004001864522002552
chicken broth,0.004000373699505842
worcestershire,0.0038920405980782304
cornstarch,0.003720099070124315
syrup,0.003718111306795368
mushroom,0.003499954281443434
chili powder,0.0034711317131737025
bacon,0.0034527449023809428
red onion,0.0034154743399631864
cayenne pepper,0.0033642894342428013
beef,0.0032425389303447974
yogurt,0.0030373023666310194
bay leaf,0.0029627612417955067
pecan,0.002906606927752754
walnut,0.002906109986920517
kosher salt,0.002858900607858026
red pepper flake,0.0028514464953744746
spice,0.0028136789921244815
dijon mustard,0.0027823717196935665
red bell pepper,0.002715781648173842
powdered sugar,0.002672050854937008
tortilla,0.0026283200617001736
boneless skinless chicken breast,0.0026188781858876753
green pepper,0.00258608009096005
heavy cream,0.0025845892684633397
margarine,0.0025443370610521627
apple,0.00252793801358835
banana,0.0025264471910916397
clove,0.002494642977828488
egg white,0.0024509121845916536
zucchini,0.002301332994088392
spinach,0.0022397123308910347
raisin,0.0022297735142462996
rosemary,0.0022103928217890663
chicken stock,0.002180079431022625
tomato paste,0.002154238507746314
shallot,0.0021234281761476352
lemon,0.0020513717554733065
egg yolk,0.0019738489856443732
scallion,0.001968879577322006
green bell pepper,0.001946517239871352
ketchup,0.001938566186555564
red pepper,0.0019206763165950408
strawberry,0.001910737499950306
coriander,0.001898313979144387
breadcrumb,0.0018406688426049242
onion powder,0.0017879931143878285
chicken breast,0.0017522133744667825
chive,0.001683635539618111
ly  black pepper,0.0016364261605556197
green chili,0.001627978166407595
white sugar,0.0016051188881247044
whipping cream,0.0015693391482036582
sea salt,0.0015628789173845806
confectioners' sugar,0.0015603942132233967
chicken,0.001557909509062213
dry white wine,0.0015554248049010292
cucumber,0.0015345532899470858
light brown sugar,0.0015037429583484071
yellow onion,0.0014987735500260398
white pepper,0.0014754173309109125
curry powder,0.001470447922588545
white wine,0.0014361590051642091
avocado,0.0014306926560096048
dry mustard,0.0014108150227201347
black bean,0.0014098211410556614
pineapple,0.001378513868624746
shortening,0.0013641025844898804
corn,0.0013621148211609333
cranberry,0.0013482004778583043
salsa,0.0013432310695359368
basil leaf,0.0013377647203813325
dill,0.0013084452112793643
turmeric,0.0012985063946346293
semi-sweet chocolate chip,0.0012950278088089719
celery rib,0.0012925431046477882
lean  beef,0.0012721685305260814
pea,0.0012353949089405618
nut,0.0012304255006181943
jalapeno pepper,0.0012095539856642509
italian seasoning,0.0011608537841050492
broccoli,0.0011553874349504451
blueberry,0.001153399671621498
green bean,0.0011429639141445262
almond,0.0011330250974997912
half-and-half,0.00112557098501624
seasoning salt,0.001123583221687293
chocolate chip,0.0011091719375524273
tabasco,0.0010873065409340102
bell pepper,0.0010848218367728265
cream,0.001075876901792565
cold water,0.0010624594993221728
sesame seed,0.0010604717359932257
lemon zest,0.0010569931501675685
hot,0.001055999268503095
beef broth,0.0010525206826774377
jalapeno,0.0010485451560195438
shrimp,0.0010415879843682291
